,Accuracy,Precision,Recall,F1-score
Decision Tree,0.7662337662337663,0.65,0.7222222222222222,0.6842105263157895
Random Forest,0.7597402597402597,0.6818181818181818,0.5555555555555556,0.6122448979591837
AdaBoost,0.7727272727272727,0.7435897435897436,0.5370370370370371,0.6236559139784946
GradientBoosting,0.7467532467532467,0.6530612244897959,0.5925925925925926,0.6213592233009708
XGBoost,0.7337662337662337,0.6274509803921569,0.5925925925925926,0.6095238095238096
LightGBM,0.7597402597402597,0.6666666666666666,0.6296296296296297,0.6476190476190476
