log_TOT_POP,Percent of Population Aged 60+,PCTPOVALL_2018,MEDHHINC_2018,Unemployment_rate_2018,Urban_rural_code,Active Physicians per 100000 Population 2018 (AAMC)
8.580731212220226,19.4,23.7,38912,15.3,6,276.9
11.181904343985003,19.7,37.3,33652,10.1,6,242.0
11.750137588203309,27.8,15.1,49164,5.6,4,242.0
11.86958540879646,16.7,15.9,60187,5.5,4,242.0
10.894700210927542,35.3,20.4,43585,5.9,5,242.0
10.547260648478273,18.4,20.2,50157,5.1,5,242.0
9.157361447185297,17.4,10.5,65818,4.3,6,242.0
9.956980924976127,44.8,23.7,37350,6.2,6,242.0
15.299572304756646,19.5,12.3,65234,4.1,1,242.0
12.252722425472587,35.9,16.8,45129,5.8,4,242.0
11.612281992710349,22.5,28.5,40650,7.8,5,242.0
13.853840489874337,24.4,16.2,53395,4.5,3,242.0
13.010624787225733,24.7,12.9,58848,5.0,2,242.0
10.747465622798657,22.7,24.4,40545,9.3,5,242.0
12.354466788245052,38.5,13.2,48758,4.5,4,242.0
12.264949859164869,22.4,19.5,44116,17.0,4,242.0
9.785266921148697,25.6,17.9,43887,3.4,6,207.6
9.905834795604477,24.5,19.6,41127,5.5,6,207.6
10.636336099947625,38.9,15.1,39686,4.1,5,207.6
12.515793813106763,17.7,8.6,68978,2.9,3,207.6
10.531589416892908,26.4,14.8,44482,3.5,5,207.6
9.296334565143043,25.7,21.7,37729,4.5,6,207.6
8.57130251706327,27.6,15.7,44969,3.9,5,207.6
10.247927958806518,28.8,16.1,45023,3.2,6,207.6
9.253304071408298,25.8,31.4,31787,6.9,6,207.6
10.001611950529327,22.2,19.9,45408,3.8,5,207.6
9.605620455025981,27.2,20.7,37687,4.4,6,207.6
10.125270178210997,33.3,14.6,44902,4.5,6,207.6
8.989569004807029,26.3,15.5,47600,3.9,4,207.6
10.066371415437608,22.8,22.4,40909,4.8,5,207.6
9.94712158955619,25.2,17.9,44565,4.4,6,207.6
11.595049082970379,18.5,17.9,45615,3.1,4,207.6
11.057329544425208,21.9,16.0,47363,3.6,3,207.6
10.786076712737268,19.3,19.2,42606,4.3,2,207.6
9.721785803621579,23.4,18.0,41214,4.2,6,207.6
8.879472402074802,29.1,21.3,37259,4.4,6,207.6
9.351232110673664,25.2,24.3,36132,4.5,6,207.6
9.816239783971849,20.9,19.5,42494,5.0,6,207.6
11.734523823088082,16.2,15.4,53882,3.3,3,207.6
9.787571522938785,26.1,18.3,43696,3.6,6,207.6
9.414912537704957,33.9,20.6,35630,4.0,6,207.6
11.50443956131993,29.3,20.4,43610,4.0,4,207.6
